frame,x,y,visible
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,1176,458,1
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,1190,621,1
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,1290,411,1
94,1288,407,1
95,1288,407,1
96,1285,401,1
97,1285,401,1
98,1283,397,1
99,1283,397,1
100,1280,397,1
101,1280,397,1
102,-1,-1,0
103,-1,-1,0
104,-1,-1,0
105,-1,-1,0
106,-1,-1,0
107,-1,-1,0
108,-1,-1,0
109,-1,-1,0
110,-1,-1,0
111,-1,-1,0
112,1258,437,1
113,1258,437,1
114,1255,452,1
115,1252,459,1
116,1252,459,1
117,-1,-1,0
118,-1,-1,0
119,-1,-1,0
120,-1,-1,0
121,1236,565,1
122,1237,570,1
123,-1,-1,0
124,-1,-1,0
125,-1,-1,0
126,-1,-1,0
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,-1,-1,0
134,1255,570,1
135,-1,-1,0
136,1257,584,1
137,1261,581,1
138,1261,581,1
139,1261,580,1
140,1264,581,1
141,1266,582,1
142,-1,-1,0
143,1266,591,1
144,1267,592,1
145,1269,591,1
146,-1,-1,0
147,1271,597,1
148,1271,599,1
149,1272,600,1
150,1273,602,1
151,1273,602,1
152,1274,603,1
153,1672,487,1
154,1672,488,1
155,-1,-1,0
156,-1,-1,0
157,-1,-1,0
158,-1,-1,0
159,-1,-1,0
160,1285,613,1
161,1287,614,1
162,1287,615,1
163,1287,615,1
164,1288,615,1
165,1288,616,1
166,1290,618,1
167,1292,619,1
168,1292,619,1
169,1292,620,1
170,-1,-1,0
171,-1,-1,0
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
178,1299,628,1
179,1299,628,1
180,1301,629,1
181,1301,629,1
182,1302,630,1
183,1302,630,1
184,1304,631,1
185,1304,631,1
186,1303,631,1
187,1303,631,1
188,1304,632,1
189,1304,632,1
190,1305,635,1
191,1305,635,1
192,1307,636,1
193,1308,636,1
194,1308,636,1
195,1310,637,1
196,1310,637,1
197,1311,639,1
198,1311,639,1
199,-1,-1,0
200,-1,-1,0
201,-1,-1,0
202,-1,-1,0
203,-1,-1,0
204,-1,-1,0
205,-1,-1,0
206,-1,-1,0
207,-1,-1,0
208,-1,-1,0
209,-1,-1,0
210,-1,-1,0
211,-1,-1,0
212,-1,-1,0
213,-1,-1,0
214,-1,-1,0
215,-1,-1,0
216,-1,-1,0
217,1330,649,1
218,1330,649,1
219,-1,-1,0
220,-1,-1,0
221,1332,650,1
222,1332,650,1
223,1332,651,1
224,1332,651,1
225,1333,652,1
226,1334,654,1
227,-1,-1,0
228,-1,-1,0
229,1338,656,1
230,-1,-1,0
231,-1,-1,0
232,-1,-1,0
233,-1,-1,0
234,-1,-1,0
235,-1,-1,0
236,-1,-1,0
237,-1,-1,0
238,-1,-1,0
239,-1,-1,0
240,-1,-1,0
241,-1,-1,0
242,-1,-1,0
243,-1,-1,0
244,-1,-1,0
245,-1,-1,0
246,1346,649,1
247,1346,649,1
248,-1,-1,0
249,-1,-1,0
250,-1,-1,0
251,-1,-1,0
252,-1,-1,0
253,-1,-1,0
254,-1,-1,0
255,-1,-1,0
256,-1,-1,0
257,-1,-1,0
258,-1,-1,0
259,-1,-1,0
260,-1,-1,0
261,-1,-1,0
262,-1,-1,0
263,-1,-1,0
264,-1,-1,0
265,-1,-1,0
266,-1,-1,0
267,-1,-1,0
268,-1,-1,0
269,-1,-1,0
270,-1,-1,0
271,-1,-1,0
272,-1,-1,0
273,-1,-1,0
274,-1,-1,0
