frame,x,y,visible
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,864,429,1
35,864,429,1
36,-1,-1,0
37,-1,-1,0
38,893,397,1
39,893,397,1
40,893,397,1
41,893,397,1
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,951,386,1
49,951,386,1
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,979,407,1
55,979,407,1
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,1019,470,1
60,1019,470,1
61,1031,498,1
62,1031,498,1
63,1031,498,1
64,1031,498,1
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,1048,560,1
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,1066,542,1
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,1113,580,1
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,-1,-1,0
96,-1,-1,0
97,-1,-1,0
98,-1,-1,0
99,-1,-1,0
100,-1,-1,0
101,-1,-1,0
102,-1,-1,0
103,1323,637,1
104,-1,-1,0
105,-1,-1,0
106,-1,-1,0
107,-1,-1,0
108,-1,-1,0
109,1357,685,1
110,-1,-1,0
111,-1,-1,0
112,-1,-1,0
113,-1,-1,0
114,-1,-1,0
115,1404,696,1
116,-1,-1,0
117,1423,700,1
118,-1,-1,0
119,1432,702,1
120,-1,-1,0
121,-1,-1,0
122,-1,-1,0
123,-1,-1,0
124,-1,-1,0
125,-1,-1,0
126,-1,-1,0
127,-1,-1,0
128,-1,-1,0
129,1486,716,1
130,1486,716,1
131,1495,715,1
132,1495,715,1
133,1502,716,1
134,1502,716,1
135,-1,-1,0
136,-1,-1,0
137,-1,-1,0
138,-1,-1,0
139,-1,-1,0
140,-1,-1,0
141,-1,-1,0
142,-1,-1,0
143,-1,-1,0
144,-1,-1,0
145,-1,-1,0
146,-1,-1,0
147,-1,-1,0
148,-1,-1,0
149,-1,-1,0
150,-1,-1,0
151,-1,-1,0
152,1508,750,1
153,-1,-1,0
154,-1,-1,0
155,-1,-1,0
156,786,674,1
157,786,674,1
158,-1,-1,0
159,-1,-1,0
160,-1,-1,0
161,-1,-1,0
162,-1,-1,0
163,-1,-1,0
164,-1,-1,0
165,-1,-1,0
166,-1,-1,0
167,-1,-1,0
168,-1,-1,0
169,-1,-1,0
170,-1,-1,0
171,-1,-1,0
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
178,-1,-1,0
